Entity,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,663000601041.911,719536214136.498,806316074293.974,885206748929.352,1064837210122.17,1314276991361.33,1509586838693.35,1563625995930.43,1433117299305.06,1576439931356.09,1735179256802.21,1846141444737.87,2043270006220,2312730858562.9,2682114103857.59,3107074979915.01,3742273443756.22,4732738669680.06,5991570235211.15,6498975001914.04,7882446456935.66,9635869807686.66,10749712050822.1,11864683022069.7,12757487627750.3,13271080972127.2,13509334237575.9,14742323722128.8,
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,1813178409846.2,1921453762720.57,2108155558490.14,2309251827373.08,2420971116509.87,2485113261638.93,2707559243364.66,2898332543804.05,2863468369364.16,3030224549330.27,3288110020716.93,3255751467164.67,3161199152833.63,3515496799520.47,4083949567318.64,4759860440591.09,5448300405314.26,6467163518438.63,7290184875668.88,7013314632310.13,8518642497658.44,9572388908628.66,10033183020177.6,10200899854046.7,10551908247850.4,10227418599351.6,10437433411218.3,11249356756765.5,
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,4732430596834.54,5343157099340.13,5837733491054.73,6528972575842.51,7301095507995.8,8296163038989.35,7992437848639.92,7647564217884.32,6856965753267.84,7655592774651.22,8280878971543.35,7701923353168,7824325509577.77,8601705888156.24,9646251736850.05,10293017310801.3,10916254328345.9,12209516336624.6,14101956941388,14531225630964.5,16943264970899.9,19647936061374.7,21031415333115.5,21275182763463.1,21914173792948.9,21795027437826.6,22512169652487.2,23999250748656.8,
Europe & Central Asia (excluding high income),ECA,GDP (current US$),NY.GDP.MKTP.CD,932768827632.581,900663553377.569,828609880234.952,814105160839.003,706722552636.16,754548338881.156,764174427988.43,796313640019.477,746431102636.823,627047960915.242,698279752722.012,693714052423.484,793468314741.556,1002764530620.69,1325888721435.9,1680858731465.82,2063714278276.57,2671612808963.56,3307274731062.51,2597734250240.2,3095275242983.7,3828649600563.84,4054552441559.32,4311458738453.9,4021783448232.2,3074852612469.76,2943297166689.13,3300500740186.92,
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,8833140051197.529,9114001502012.15,9774298588316.61,8982185404971.4,9394473010467.41,10836212729155,11063984417207.9,10498435686246.1,10758274973217.5,10635505698291.4,10019127726024.2,10116696797056.4,11067842298770.3,13481418913167.7,15714335260075.4,16740209757007.5,18121630393543.9,21176998535076.4,23242586105849.3,20444495734666.8,20919626535010.4,23180846811371.1,22343569115289.3,23352202041538.8,23658228163840.5,20373360511263.9,20280711671665.5,21438519189821.4,
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,15239278100.3502,16988535267.6338,18094238119.0595,18938717358.6793,22708673336.6683,24432884442.2211,25226393196.5983,28162053026.5133,27981896948.4742,19645272636.3182,18327764882.4412,24468324000,28548945000,32432858000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,101726331000,99290381000,98613972000,103056619000,
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,43130416913.4141,36970555898.9698,41855986519.4235,46578631452.581,51897983392.6453,60159245060.4542,67629716981.1321,78436578171.0914,84828807556.0803,90710704806.8416,99838543960.0763,97632008709.853,87850683978.6691,82924503942.6381,78845185293.4964,89685725230.2517,107484034870.974,130478960092.499,162818181818.182,188982374700.805,218888324504.753,236001858960.015,279372758361.832,288586231501.877,305529656458.438,332698041030.807,332927833278.038,235369129337.711,
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,5865987770333.13,6098676689338.33,6728127233434.23,6161852575349.7,6508354899681.88,7511904164486.47,7603702791726.49,6952136357842.55,7143924782776.19,7111965486004.21,6481136050752.89,6587879913280.53,7167962845268.71,8843928999674.85,10144490451439.9,10529067120156.2,11179595208136.5,12873605034032.8,14113093728352.1,12904996240637.7,12641025241011.9,13622020017559.8,12641932413656.3,13193288711206.9,13478925371853.1,11667283153635.4,11934738646774.8,12589497164004.3,
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,,,477101651.648376,467872714.755603,531688311.688312,578015625,693535954.190067,686490090.140141,745526154.93283,688921325.712043,706370815.584416,752368495.512622,729321366.65186,870247703.182758,1109054005.43971,1098425900.74116,1211161879.6748,1317974491.05691,1380188800,1856695551.21951,2117039512.19512,2607739837.39837,,,,,,,
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,535101248775.71,575598537069.656,629202392003.901,523649481762.322,529121577319.588,612939685081.398,640998292394.588,588692045454.545,617041986858.225,633194118900.49,595402616546.895,625975838926.175,705145868624.13,906853273137.698,1069555500372.49,1157276458151.97,1264551499184.54,1479341637010.68,1635015380108.39,1499099749930.54,1431616749640.29,1488067258325.2,1336018949805.58,1361854206549.39,1376910811040.88,1197789902774.43,1237255019653.86,1311320015515.99,
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,,,,,,4373665145.55468,4746109767.1999,5066240419.29666,5617109244.63233,5726897998.29642,5685774808.80862,6245069734.13302,7322069511.16134,9833870709.12376,12059201242.236,14006088297.4754,16963625015.6818,22237061730.0849,24194039255.8957,19652492636.8436,19490936349.1753,23170239900.7654,23043864510.0543,25137153149.4377,26224622450.8302,22566956982.229,23337907618.5174,25921079612.3337,
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,12175166763.285,13463868357.4879,10492993077.6093,8830712713.90781,6927950564.55657,7663984567.90123,8547939730.62374,8589211390.49612,7818224905.55071,7700833482.00615,8242392103.68061,8231326016.47494,7850809498.16803,8623691300.04079,10131187261.4421,12401139453.9738,15280861834.6024,19707616772.7996,27066912635.2228,32437389116.038,29933790334.3418,31952763089.33,43310721414.0829,47648211133.2183,55612228233.5179,64464547915.2698,73000980433.9486,80561496133.9172,
European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,7573007883964.69,7859432403021.2,8563868132607.11,7808204288725.23,8291509307136.46,9617626658380.63,9832779726332.57,9281691729773.42,9597916593883.38,9583222954183.93,8906259675838.6,9004047000477.56,9816570308921.34,11949502573497.4,13798204365627.7,14433470312804.2,15398749328298.7,17793784213095.4,19137013228474.8,17102490228101.1,16987391593239.7,18350556736022,17292774157162.6,18029679886231.6,18635535561984.7,16416670356766.4,16491855791194.9,17277697660475,
Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,214581982915.426,196815513031.586,191486948971.475,217583936377.292,251771040833.792,306264358671.975,362640093033.129,445864045382.203,576894965021.314,538769386851.787,641083498163.624,705132989291.663,812460412982.903,844211308436.993,854436872033.342,758948867366.725,724091067411.028,830726810714.623,
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,141517648888.198,127866490222.026,112625431377.754,89255751014.885,103321570859.419,134199346405.229,132099404607.818,126833123353.568,133936359590.565,135225868314.511,125539893126.958,129250111856.823,139552983248.635,171071106094.808,196768065557.487,204436015420.968,216552502822.732,255384615384.615,283742493042.332,251499027507.641,247799815768.477,273674236772.815,256706466091.089,269980111642.898,272609288689.575,232464833065.554,238677672281.611,251884887972.766,
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,1337024782.22702,1383843860.1247,1531803060.54558,1635426125.30808,1825285158.11762,1970347720.96992,2129266728.42585,2093994597.21549,1656784779.545,1942170999.18765,1684109743.49338,1660102345.60309,1842691481.09196,2315935752.71653,2727507212.92556,3006725014.78415,3102741451.01664,3405050611.68726,3523185919.55826,2870624635.68032,3140508835.9485,3774530615.65916,3972012570.53467,4190143206.25611,4483416339.93854,4362128146.45309,4671313314.55578,5061202767.42948,
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,1269179616913.63,1269276828275.78,1401465923172.24,1322815612694,1393982750472.59,1601094756209.75,1605675086549.56,1452884917959.09,1503108739159.44,1492647560196.04,1362248940482.77,1376465324384.79,1494286655373.61,1840480812641.08,2115742488204.62,2196126103718.44,2318593651988.46,2657213249384.07,2918382891460.38,2690222283967.77,2642609548930.36,2861408170264.61,2683825225092.63,2811077725703.59,2852165760630.27,2438207896251.84,2465134297438.91,2582501307216.42,
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,1105688872.97039,1125684470.05533,1062339943.83343,1154899793.33878,1268445919.41429,1486861878.95624,1683997930.26322,1730894295.38595,1970135198.76236,2278229880.41222,2413251995.84159,2257083698.63269,2301168186.90991,2468754074.54319,2356495468.27795,2613464380.46401,2810547884.18708,2476746087.18917,,,
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,147200000,166200000,178100000,198400000,202500000,222103600,218845700,206900300,219646200,220660500,233226300,240051900,241543400,245277400,240097000,250149400,253372300,256548100,262868600,279966700,296525300,310502100,326128700,316040600,317999400,315179700,329895600,336427532.88,
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,5952293765.84468,5402919956.93831,5592390848.52648,4378645081.01769,4190819314.02958,4958845906.34769,5694040336.82571,5326816858.99586,4483417119.83928,4662992036.2073,5067865320.7979,5018874179.18704,5310381151.35952,6497305662.09274,7756293574.98077,9578973591.00958,10318424464.3377,12438956756.4455,15508574820.3516,12065138272.7538,14358631634.4187,18186515199.9688,17171468468.5691,17590680916.525,18179666879.0389,14377389785.603,14014278017.4685,14622880885.6842,
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1335218557677.13,1408781591263.65,1552483628028.81,1638511096389.53,1665623685487.79,1647951278559.54,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2650850178102.14,2622433959604.16,
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,7753501867.76095,6357615894.03974,3690328963.64086,2701181331.30816,2513870586.73344,2693731865.97036,3094915505.9093,3510540809.24855,3613500117.24928,2800024313.95144,3057453482.55826,3219487747.22624,3395739855.17147,3991281539.82383,5125363000.83472,6410852595.57566,7745406200.85374,10172869679.7366,12795044472.7663,10766809099.0721,11638536834.4274,14434619982.2117,15846474595.773,16140047012.1438,16509305827.7171,13993546732.4726,14378016732.1587,15159281211.3967,
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,5889174825.487,6596546195.65217,6413901601.83066,5966255778.12018,5444560669.45607,6465137614.6789,6934984709.48012,6891308593.75,7480968858.13149,7719354838.70968,4983024408.14828,5314909953.92992,6166330136.2948,7632406552.83803,8881368538.07671,10731634116.7384,20409668521.5494,24758819717.7074,28526891010.4925,25977847813.7422,32174772955.9748,39566292432.8615,41939728978.7281,47805069494.9081,39086625008.6213,37338430643.4024,42803583022.1495,47330016342.5734,
Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,2666616176.91609,3014890569.04099,3284625277.16186,3279063317.63475,3383218922.79336,3693753379.05992,3869032270.91633,3783788551.0819,3588376057.01536,3461282293.64624,2995360969.16199,2833442750.43639,2949637039.04424,3446442218.89829,3666349049.42641,2937071767.25576,4375865936.48378,5836261225.23732,7009809997.49329,6493151288.20375,6992497898.58596,6511123904.00314,7504778989.47662,8263033524.59884,8765067644.04257,8857789705.63763,9275886117.43042,10496056732.546,
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,317083373.524559,690314321.374999,714255460.503389,755042548.055824,746491692.583857,785996982.492168,848237108.56163,803630742.53446,840285264.631545,814723460.08372,782915402.421095,687408804.630527,578236035.104279,487038821.611959,578785951.428733,624173239.919651,655070067.733924,798885556.457903,965781078.206954,900639534.010899,951806368.699129,898290989.936018,910026155.731035,898947649.453801,833249466.848777,907655651.525834,962797146.496008,1014621519.85866,
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,243961995.509785,257150374.069711,226313443.749086,236880821.656388,235620043.500927,253966922.278198,270419779.418107,268550998.219197,206457544.497703,224446663.800548,370173838.651652,392278168.199897,415843481.998691,476388260.639232,531109356.165462,586795675.416201,591839470.665059,695990208.376629,864654795.287148,826798659.766283,850633309.814482,1099385895.08056,989875559.112237,1045790132.92157,1053512334.25891,1047808174.95585,1178204501.44059,1346933490.23577,
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,112119406.548331,110906032.075075,134707184.355541,136047896.155778,100807001.813926,141853368.256815,232463036.435759,442337849.474377,370687618.717326,621117885.668503,1045998496.43872,1461139022.02954,1806742742.27311,2484745935.09329,4410764338.66733,8217369092.65224,10086528698.8604,13071718758.7373,19749893536.3204,15027795173.2187,16298542027.9965,21329395900.871,22389627294.4179,21942597765.3631,21736500712.9638,13180194732.94,11259559879.052,12486753871.278,
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,97891090928.6328,105143232379.884,116224673042.546,108809058858.502,116601802106.742,136878366230.328,145861612825.595,143157600024.959,144428172835.236,142540728958.023,130133845771.144,136191353467.562,153830947016.751,201924270316.027,240521260988.329,247783001865.44,273317737046.795,318497936901.177,354460802548.704,330000252153.376,299361576558.217,287797822093.178,245670666639.047,239862011450.103,237029579260.722,195541761243.144,192690813126.86,200288277129.038,
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,278098777.777778,300757888.888889,310160444.444444,309812185.185185,325111814.814815,342172518.518519,366911444.444444,392190592.592593,445903592.592593,482009370.37037,520044370.37037,520444185.185185,540336925.925926,591018407.407407,599118592.592593,695370296.296296,698700666.666667,758683592.592593,825977888.888889,771278111.111111,771015888.888889,778648666.666667,799882148.148148,842620111.111111,911481481.481481,997007925.925926,1056188592.59259,1118816679.40741,
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,1018970364.86443,1016493394.8253,1037921836.9477,927219728.866886,1005879948.43254,1208946165.92889,1197509786.67632,1072147778.03013,1149862702.96084,1131561595.13775,1068030829.75591,1086172922.57413,1169138789.31435,1558768614.23562,1825157316.68642,1849805732.96203,2013099482.07439,2249811708.94796,2499107510.64122,2529948329.57153,2503156060.52524,2684467375.71479,2609667673.71601,2669515517.33348,2837737193.76392,2520206899.62693,2705891616.97574,,
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,7650125217.35253,9406097735.09117,10440842165.3193,11399942453.0646,12983235568.2292,14655404433.2771,15674835615.3139,17790026221.6139,19395491992.9939,18318412251.3642,19288827158.9035,18702802394.8286,20776669466.6053,21917706490.5299,23965275995.7214,27211377225.2715,30231249362.0604,34113107085.6085,39136893345.1501,37733994976.4137,41338595380.8159,47654841112.8523,50388454861.1111,53851058955.2999,58722323918.1604,63767597193.9175,68663653469.1246,75620095537.5005,
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,3385000000,3560000000,3857000000,4197000000,4213000000,4375000000,4621000000,4781000000,4895000000,4928000000,5199000000,5337000000,5531000000,5697000000,5793000000,,
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,396582263.291139,336708419.499106,368281378.896883,442273433.179724,540874934.201012,621626785.915493,705406001.424501,749138009.564539,717530683.169567,694754988.258295,712667896.727512,696281471.678532,722460886.371384,741929342.788749,785918769.587635,824880550.343965,1458449453.33968,1740334781.83731,1922598121.23066,2061323853.88576,2273225041.96217,2576024115.57832,2861562265.88301,2990006533.77749,3077086275.94585,3166029055.69007,3504024213.07506,3675631961.25908,
High income,HIC,GDP (current US$),NY.GDP.MKTP.CD,19054601188741.1,20206438474581.4,21769592842805.8,21951665906572.2,23545813692448.8,26119340056413.6,26365812920137.6,25961033675576.6,26055497178178.9,27338899512486.1,27899011817534,27617210372380.5,28605786313951.1,32091742949508.6,35745670208082.2,37828895208554.4,39949591651052.2,43701697595251.4,46482186891482.4,43561026668309.1,45719279000402.4,49412039871292.4,49467213807435.4,50012560794420.7,51048743606969,48322414816705.8,49281856158945.9,51475414395949.6,
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,76928290841.8701,88959620135.8864,104272278634.731,120353947980.764,135812069768.646,144652912433.103,159717233621.659,177352785419.977,168886163221.567,165768095391.557,171668164082.555,169403241524.337,166349228737.386,161384522525.299,169099768875.193,181570082162.19,193536265094.364,211597405593.868,219279678430.164,214046415026.187,228637697575.04,248513617677.287,262629441493.476,275696879834.966,291459356985.337,309383627028.561,320881182123.855,341449340450.649,
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,3048881322.9572,3068444711.94538,3419487440.65916,3481990761.34498,3432356578.82219,3911053180.39625,4034037162.16216,4663193916.34981,5202215657.31167,5372543554.00697,7103507989.05044,7565869927.73763,7775078402.92785,8140271080.5604,8772194250.27021,9672035709.39793,10841742347.7968,12275501784.2971,13789715132.502,14587496229.1811,15839344591.9842,17710315005.9999,18528601901.324,18499710127.8385,19756494434.7031,20979767785.2104,21643936938.9096,22978532896.7816,
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),NY.GDP.MKTP.CD,129563270449.56,133837294061.353,121806252518.366,125953831384.135,111754764756.59,127074341410.363,132907366906.074,139643531730.604,143813315797.91,143743613277.413,155859146238.72,148157685592.466,160931530735.081,183271275526.468,211132332255.819,243510812402.688,292277278510.181,348312890048.819,421086650266.765,423617962057.282,468988446692.293,524010496967.089,564381508746.692,612898760943.11,650445161954.419,640013775850.345,652175948756.265,728774036366.636,
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,,,,,,22387561845.2244,23678012697.3612,23822087053.2091,25432144406.2043,23386945596.6928,21774273832.1031,23289671102.3197,26878499206.0165,34658113497.39,41574530815.5047,45416358501.9835,50453577898.4886,60093222709.0519,70481451449.4223,62703143057.4238,59829574390.6875,62375044443.1969,56565475274.7722,58085856018.5104,57629518805.8871,49425513611.2448,51338524831.0314,54849180228.8716,
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,,3473540601.82161,2257121668.19352,1878248741.04949,2167564194.7342,2813313278.81082,2907514522.92503,3338938830.01743,3723909226.86781,4153736347.44223,3953846310.66081,3596443004.56165,3472191962.42287,2960306120.93557,3537720277.49988,4310358095.62898,4756204069.61876,5885325589.97642,6548530572.35291,6584649419.28348,6622541528.56888,7516834160.25277,7890216507.68913,8452509315.87722,8776350789.5993,8724656126.49849,7970649131.23416,8408150517.97684,
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,,34748508332.1068,38724945367.8583,40119073326.3573,43160392123.6053,46418916500.3536,46659796772.5473,47290180588.5993,48770466838.6491,49170434390.9949,47310623887.2319,53821315066.1024,67716887203.4136,85324771841.4118,104066609517.928,113035361316.749,115295199391.606,139850794387.281,157998423131.739,130593960612.172,130922638689.071,140782064609.187,127856647107.82,135215704418.963,140118140454.711,122879042001.915,125816640420.569,139135029758.29,
IBRD only,IBD,GDP (current US$),NY.GDP.MKTP.CD,3445041207920.85,3710448040088.94,3698848591732.22,3963450456182.61,4345077957648.06,4878122055962.45,5336219415392.91,5653682952212.3,5497866536694.84,5336891178813.2,5799854105797.49,5885080246279.83,5974616212131.51,6727577107713.12,8003465737255.29,9567005556607.55,11338857254968,14111319354089.7,16947333467462.9,16449910318384.1,19977170903178.2,23625393810182.3,25110781711224.5,26548453670328.9,27417808169925.2,25892267158724,26025458644283.5,28648517074135.9,
IDA & IBRD total,IBT,GDP (current US$),NY.GDP.MKTP.CD,3753908554413.98,4027002439680.39,4005751191307.75,4262423194627.02,4631977111760.21,5209847124113.57,5701855814803.9,6031820984138.32,5874033495083.35,5721667243132.59,6224417036296.84,6298754036310.75,6417897030413.38,7229580059287.59,8588210201255.36,10243789622354.6,12156999762992.9,15067095325815,18098098464795.9,17580870601359.5,21428831908503.9,25280436633081,26896135269886,28487508096769.4,29510452511451,27915726843475.4,28005663818401.2,30741796092143.4,
IDA total,IDA,GDP (current US$),NY.GDP.MKTP.CD,310754984239.129,317926871548.089,308012334756.616,299317037066.065,285827310025.711,330866039411.295,364802180239.024,376900576802.661,375286618962.986,384671576179.308,424694334595.434,413595014871.099,443352796318.383,502102621666.051,584781801313.066,676588277242.274,818083937684.583,955027034610.114,1150019947728.75,1130980343557.6,1455845120196.72,1656436216739.23,1788045890061.4,1944276302494.37,2101886669975.45,2033399081295.74,1988820003334.38,2099617258914.78,
IDA blend,IDB,GDP (current US$),NY.GDP.MKTP.CD,124554583379.383,128127920127.226,129504933952.049,119492029674.213,119339525277.54,140653824899.551,156597034002.357,158398847049.371,151513540340.042,157838229509.667,175759687708.128,169725864984.915,184478678152.898,210422237202.087,254742853363.796,300313257358.981,380109998950.055,434843994375.774,519062838351.918,482330295419.859,710338591111.992,815412487006.036,897230432814.01,973743085757.227,1055271972787.79,985847068547.601,924035470840.169,915342329873.435,
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,106140727357.032,116621996217.133,128026966579.964,158006700301.533,176892143931.505,202132028723.115,227369679374.973,215748998609.635,95445547872.715,140001351215.462,165021012077.81,160446947784.909,195660611165.183,234772463823.808,256836875295.452,285868618224.017,364570514304.851,432216737774.861,510228634992.255,539580085612.401,755094160363.071,892969107923.094,917869910105.749,912524136718.018,890814755233.225,860854235065.079,932256495234.247,1015539017536.5,
IDA only,IDX,GDP (current US$),NY.GDP.MKTP.CD,186186474167.437,189712605825.223,177988488720.939,179815585685.126,166157092481.686,189675133101.608,207499367857.064,218026599697.903,223764930863.973,226635052147.243,248603410062.969,243589213446.975,258526525388.423,291258725207.766,329367023001.313,375393317137.937,436590130451.518,518733898402.514,629698302598.449,650408779278.029,738242979081.802,833522757636.59,881148790694.837,960195465079.505,1035220622681.81,1039478554734.75,1060271611687.89,1186015013019.41,
Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,914727080.643268,1023086918.62768,1180919719.40764,1382548249.78303,1567465656.8505,1563667799.61578,1614595290.9182,1897606791.43353,2264911806.90354,2758117365.04863,2971167185.35511,3344402193.24608,5685988395.35814,5827468750,5487083657.89064,5920177688.50433,6142169524.11473,6433357030.0158,6754330154.76004,7428280401.5139,6792417112.29947,,,
India,IND,GDP (current US$),NY.GDP.MKTP.CD,316697337894.513,266502281094.117,284363884080.101,275570363431.902,322909902308.892,355475984177.451,387656017798.596,410320300470.283,415730874171.13,452699998386.914,462146799337.698,478965491060.771,508068952065.901,599592902016.345,699688852930.276,808901077222.839,920316529729.747,1201111768410.27,1186952757636.11,1323940295874.06,1656617073124.71,1823049927772.05,1827637859136.23,1856722121394.42,2039127446299.3,2102390808997.09,2274229710530.03,2597491162897.67,
Not classified,INX,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,49364681255.6988,49847128533.4009,55985506498.7271,52480253168.9731,57166037102.4735,69222626262.6263,75880632560.4839,82826146131.8052,90082034316.4742,98691849563.1792,99853528653.0311,109133512304.251,127945379258.423,164285112866.817,193870350136.578,211650764830.245,232085535064.609,269917519846.701,275020023436.356,236311336482.356,221951354761.532,239018536581.675,225571853194.348,239389340720.488,258099014042.117,290617008367.572,304819018067.107,333730764773.18,
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,124813263926.246,,,63743623232.0252,71841461172.5702,96419225743.6375,120403931885.448,113919163421.121,110276913362.532,113848450088.362,109591707802.23,126878750295.954,128626917503.717,153544751395.431,190043433964.846,226452138291.545,266298911661.142,349881601458.559,406070949553.87,414059094949.061,487069570463.766,583500357530.413,598853401276.104,467414852231.297,434474616831.914,385874474398.59,418976711586.862,439513511620.591,
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,179885815374.719,,,,,,,,,,,,,,36627901762.063,49954890353.2609,65140293687.5395,88840050497.0957,131613661510.475,111660855042.735,138516722649.573,185749664444.444,218000986222.639,234648370497.427,234648370497.427,179640210726.448,171489001692.047,197715736040.609,
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,6372905073.10779,6807365897.52239,6976080330.65779,6126456175.15147,6294803496.77744,7018100153.49728,7330965239.09774,7548912105.47174,8453704212.19223,8917286036.00179,8927140438.33316,8136345143.83431,9207689916.29001,11316441660.0399,13722824251.3004,16691490113.795,17048647567.6831,21319946739.5207,17658408759.0494,12944114736.1985,13310567802.9356,14732689534.5966,14292008745.4017,15548321544.3776,17304033020.5364,16942247373.9704,20304098101.4115,23909289978.5861,
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,58986997916.8733,67530220218.5073,75575902931.967,75954641355.4291,86307135996.8118,100343219506.525,109957321960.084,114724862033.977,115979230546.565,117189920211.61,132339311284.428,130706147870.747,121069378150.196,126864966908.939,135445033199.465,142462925574.348,153966916311.325,178706717752.732,215840354626.533,207419370241.335,233609522091.468,261628548084.179,257296579579.346,292489185194.417,308416982140.362,299093839689.55,317747542489.389,350850537827.281,
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1177326294440.85,1242109397533.95,1315806985860.17,1061445225790.57,1095590833693.56,1170787352906.22,1308929351236.04,1239050932241.93,1266309245009.48,1248563179203.07,1141759996314.72,1162317852348.99,1266510634293.24,1569649661399.55,1798314750434.57,1852661982340.5,1942633797516,2203053380782.92,2390729163615.06,2185160183384.27,2125058244242.92,2276292404600.52,2072823157059.76,2130491320658.68,2151732868243.21,1832868490534.11,1859383610248.72,1934797937411.33,
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,4592224067.37194,4071219198.03601,3530892749.02131,5405097570.68897,5419134875.33794,6538840169.73126,7368000000,8375077442.97381,8763219645.29332,8851581632.65306,8985352831.94058,9178016493.05556,9694169756.90153,9399447609.1835,10150978154.5484,11204416000,11905525197.3285,12824094989.8639,13678606692.2655,12038829246.2425,13191645685.5116,14439910353.0576,14800165406.7733,14274983015.9485,13897723431.3942,14186886642.6685,14056908749.3505,14768134912.4171,
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,4160003917.43258,4344250257.01278,5311329067.37276,5605841535.57512,6237739516.24445,6727446632.42009,6928359238.36389,7246188575.45839,7912327362.48237,8149106064.88011,8460424400.56418,8975689844.8519,9582453032.44006,10195660789.8449,11411390409.0268,12588665303.244,15056929760.2257,17110587447.1086,21972004086.2336,23820230000,26425379436.6197,28840263380.2817,30937277605.6338,33593843661.9718,35826925774.6479,37517410281.6901,38654727746.4789,40068308516.2755,
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,3132817652848.04,3584420077100.84,3908809463463.86,4454143876947.21,4907039384469.68,5449116304981.1,4833712542207.1,4414732843544.43,4032509760872.94,4562078822335.45,4887519660744.86,4303544259842.72,4115116279069.77,4445658071221.86,4815148854362.11,4755410630912.14,4530377224970.4,4515264514430.57,5037908465114.48,5231382674593.7,5700098114744.41,6157459594823.72,6203213121334.12,5155717056270.83,4850413536037.84,4394977752877.82,4949273341993.88,4872136945507.59,
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,26932728898.8146,24881135586.399,24906939560.1098,23409027475.6879,21250839258.0901,20374307047.115,21035357832.8019,22165932062.966,22135245413.2312,16870817134.7767,18291990619.137,22152694161.8882,24636593223.3467,30833699702.7594,43151647002.6096,57123671733.8953,81003884545.4098,104849886825.584,133441612246.798,115308661142.927,148047348240.643,192626507971.584,207998568865.789,236634552078.102,221415572819.5,184388432148.715,137278320084.171,159406926359.122,
